time,value,measurement
2023-08-03 07:15:02.954000+00:00,,vgr_target_status
2023-08-03 07:15:04.979000+00:00,,vgr_target_status
2023-08-03 07:15:07.012000+00:00,,vgr_target_status
2023-08-03 07:15:09.039000+00:00,,vgr_target_status
2023-08-03 07:15:11.061000+00:00,,vgr_target_status
2023-08-03 07:15:13.083000+00:00,,vgr_target_status
2023-08-03 07:15:15.107000+00:00,,vgr_target_status
2023-08-03 07:15:17.136000+00:00,,vgr_target_status
2023-08-03 07:15:19.156000+00:00,,vgr_target_status
2023-08-03 07:15:21.184000+00:00,,vgr_target_status
2023-08-03 07:15:23.212000+00:00,,vgr_target_status
2023-08-03 07:15:25.237000+00:00,,vgr_target_status
2023-08-03 07:15:27.268000+00:00,,vgr_target_status
2023-08-03 07:15:29.287000+00:00,,vgr_target_status
2023-08-03 07:15:31.314000+00:00,,vgr_target_status
2023-08-03 07:15:33.338000+00:00,,vgr_target_status
2023-08-03 07:15:35.366000+00:00,,vgr_target_status
2023-08-03 07:15:37.387000+00:00,,vgr_target_status
2023-08-03 07:15:39.411000+00:00,,vgr_target_status
2023-08-03 07:15:41.431000+00:00,,vgr_target_status
2023-08-03 07:15:43.454000+00:00,,vgr_target_status
2023-08-03 07:15:45.477000+00:00,,vgr_target_status
2023-08-03 07:15:47.505000+00:00,,vgr_target_status
2023-08-03 07:15:49.532000+00:00,,vgr_target_status
2023-08-03 07:15:51.553000+00:00,,vgr_target_status
2023-08-03 07:15:53.574000+00:00,,vgr_target_status
2023-08-03 07:15:55.593000+00:00,,vgr_target_status
2023-08-03 07:15:57.620000+00:00,,vgr_target_status
2023-08-03 07:15:59.639000+00:00,,vgr_target_status
2023-08-03 07:16:01.665000+00:00,,vgr_target_status
2023-08-03 07:16:03.685000+00:00,,vgr_target_status
2023-08-03 07:16:05.706000+00:00,,vgr_target_status
2023-08-03 07:16:07.731000+00:00,,vgr_target_status
2023-08-03 07:16:09.756000+00:00,,vgr_target_status
2023-08-03 07:16:11.781000+00:00,,vgr_target_status
2023-08-03 07:16:13.803000+00:00,,vgr_target_status
2023-08-03 07:16:15.833000+00:00,,vgr_target_status
2023-08-03 07:16:17.863000+00:00,,vgr_target_status
2023-08-03 07:16:19.890000+00:00,,vgr_target_status
2023-08-03 07:16:21.912000+00:00,,vgr_target_status
2023-08-03 07:16:23.941000+00:00,,vgr_target_status
2023-08-03 07:16:25.964000+00:00,,vgr_target_status
2023-08-03 07:16:27.991000+00:00,,vgr_target_status
2023-08-03 07:16:30.018000+00:00,,vgr_target_status
2023-08-03 07:16:32.045000+00:00,,vgr_target_status
2023-08-03 07:16:34.071000+00:00,,vgr_target_status
2023-08-03 07:16:36.098000+00:00,,vgr_target_status
2023-08-03 07:16:38.118000+00:00,,vgr_target_status
2023-08-03 07:16:40.140000+00:00,,vgr_target_status
2023-08-03 07:16:42.164000+00:00,,vgr_target_status
2023-08-03 07:16:44.186000+00:00,,vgr_target_status
2023-08-03 07:16:46.207000+00:00,,vgr_target_status
2023-08-03 07:16:48.228000+00:00,,vgr_target_status
2023-08-03 07:16:50.251000+00:00,,vgr_target_status
2023-08-03 07:16:52.269000+00:00,,vgr_target_status
2023-08-03 07:16:54.295000+00:00,,vgr_target_status
2023-08-03 07:16:56.321000+00:00,,vgr_target_status
2023-08-03 07:16:58.340000+00:00,,vgr_target_status
2023-08-03 07:17:00.366000+00:00,,vgr_target_status
2023-08-03 07:17:02.387000+00:00,,vgr_target_status
2023-08-03 07:17:04.412000+00:00,,vgr_target_status
2023-08-03 07:17:06.441000+00:00,,vgr_target_status
2023-08-03 07:17:08.464000+00:00,,vgr_target_status
2023-08-03 07:17:10.491000+00:00,,vgr_target_status
2023-08-03 07:17:12.519000+00:00,,vgr_target_status
2023-08-03 07:17:14.551000+00:00,,vgr_target_status
2023-08-03 07:17:16.572000+00:00,,vgr_target_status
2023-08-03 07:17:18.597000+00:00,,vgr_target_status
2023-08-03 07:17:20.624000+00:00,,vgr_target_status
2023-08-03 07:17:22.655000+00:00,,vgr_target_status
