,switch,flow_packet_count,flow_byte_count,port_rx_packets,port_rx_bytes,port_rx_errors,port_tx_packets,port_tx_bytes,port_tx_errors,agg_byte_count,agg_packet_count,agg_flow_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
0,1,11566,17411518,195789,295479305,0,192699,290563832,0,1456098,964,1,aaltosea1,rohe_test_isntance,152fd13c-6baf-4d15-9953-5c8675b4053a,1699527919.649957,rohe_test_stage,sdn,-29.233333332936887,-1
1,1,5219,7861624,206724,311977753,0,203649,307064772,0,644112,426,1,aaltosea1,rohe_test_isntance,152fd13c-6baf-4d15-9953-5c8675b4053a,1699527924.7334466,rohe_test_stage,sdn,-1.6481481481322362,-1
0,1,11566,17411518,195789,295479305,0,192699,290563832,0,1456098,964,1,aaltosea1,rohe_test_isntance,152fd13c-6baf-4d15-9953-5c8675b4053a,1699527919.649957,rohe_test_stage,sdn,-29.233333332936887,-1
5,1,6791,10242376,261233,394267112,0,258183,389356177,0,574560,380,1,aaltosea1,rohe_test_isntance,152fd13c-6baf-4d15-9953-5c8675b4053a,1699527945.744972,rohe_test_stage,sdn,-0.3749999999945315,-1
16,1,-237522,-356925634,32413,48880969,0,6928,10232532,0,-32389944,-21450,1,aaltosea1,rohe_test_isntance,experiment1,1699531317.78843,rohe_test_stage,sdn,-107249999999999.48,-1
17,1,15525,23409860,98529,148758280,0,31278,46938850,0,1602762,1061,1,aaltosea1,rohe_test_isntance,experiment1,1699531323.019152,rohe_test_stage,sdn,-5304999999999.5,-1
16,1,-237522,-356925634,32413,48880969,0,6928,10232532,0,-32389944,-21450,1,aaltosea1,rohe_test_isntance,experiment1,1699531317.78843,rohe_test_stage,sdn,-107249999999999.48,-1
19,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-4.709612817088757,-1
20,1,13503,20385014,747714,1129502962,0,666561,1006463152,0,554904,367,1,aaltosea1,rohe_test_isntance,experiment1,1699531338.8260734,rohe_test_stage,sdn,-1834999999999.5,-1
16,1,-237522,-356925634,32413,48880969,0,6928,10232532,0,-32389944,-21450,1,aaltosea1,rohe_test_isntance,experiment1,1699531317.78843,rohe_test_stage,sdn,-107249999999999.48,-1
19,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.392376681613468,-1
16,1,-237522,-356925634,32413,48880969,0,6928,10232532,0,-32389944,-21450,1,aaltosea1,rohe_test_isntance,experiment1,1699531317.78843,rohe_test_stage,sdn,-107249999999999.48,-1
19,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.499240121579635,-1
21,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-1.5520833333247834,-1
16,1,-237522,-356925634,32413,48880969,0,6928,10232532,0,-32389944,-21450,1,aaltosea1,rohe_test_isntance,experiment1,1699531317.78843,rohe_test_stage,sdn,-107249999999999.48,-1
19,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.499240121579635,-1
21,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-1.5520833333247834,-1
16,1,-237522,-356925634,32413,48880969,0,6928,10232532,0,-32389944,-21450,1,aaltosea1,rohe_test_isntance,experiment1,1699531317.78843,rohe_test_stage,sdn,-107249999999999.48,-1
19,1,315754,476752432,723370,1092728720,0,641928,969447010,0,14610708,9669,1,aaltosea1,rohe_test_isntance,experiment1,1699531333.5908103,rohe_test_stage,sdn,-5.499240121579635,-1
21,1,8095,12197054,758760,1146151786,0,677607,1023110534,0,339278,225,1,aaltosea1,rohe_test_isntance,experiment1,1699531343.8588543,rohe_test_stage,sdn,-1.5520833333247834,-1
