,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
2,1,1,00:00:00:00:00:04,194,292406,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-1462029999999999.5,-1
7,1,2,00:00:00:00:00:04,159,238938,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-1194689999999999.5,-1
12,1,3,00:00:00:00:00:04,296,447552,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-2237759999999999.8,-1
17,1,4,00:00:00:00:00:01,4,4204,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-21019999999999.5,-1
27,1,4,00:00:00:00:00:03,3,2692,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-13459999999999.5,-1
32,1,4,00:00:00:00:00:06,3,2144,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-10719999999999.5,-1
35,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700512295.669347,rohe_test_stage,sdn,-419999999999.50006,-1
40,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700512295.669347,rohe_test_stage,sdn,-419999999999.50006,-1
45,2,1,00:00:00:00:00:08,2,84,aaltosea1,rohe_test_isntance,experiment1,1700512295.669347,rohe_test_stage,sdn,-419999999999.50006,-1
5,1,2,00:00:00:00:00:04,182,275184,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.12499999999999822,-1
7,1,2,00:00:00:00:00:04,140,211680,aaltosea1,rohe_test_isntance,experiment1,1700512545.6120892,rohe_test_stage,sdn,-4.999999999999819,-1
20,1,4,00:00:00:00:00:02,5,4794,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-1.2813559322030876,-1
21,1,4,00:00:00:00:00:02,1,590,aaltosea1,rohe_test_isntance,experiment1,1700512544.609401,rohe_test_stage,sdn,-0.03135593220329991,-1
34,1,4,00:00:00:00:00:06,1,1512,aaltosea1,rohe_test_isntance,experiment1,1700512547.623113,rohe_test_stage,sdn,-2949999999999.5,-1
40,1,4,00:00:00:00:00:08,4,4204,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.7813559322031729,-1
41,1,4,00:00:00:00:00:08,0,0,aaltosea1,rohe_test_isntance,experiment1,1700512544.609401,rohe_test_stage,sdn,-0.5313559322032146,-1
45,1,5,00:00:00:00:00:04,304,459648,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.1666666666666652,-1
55,2,1,00:00:00:00:00:07,3,3614,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-7559999999999.5,-1
60,2,1,00:00:00:00:00:08,3,3614,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.03135593220329991,-1
61,2,1,00:00:00:00:00:08,1,590,aaltosea1,rohe_test_isntance,experiment1,1700512544.609401,rohe_test_stage,sdn,-0.2813559322032573,-1
65,2,2,00:00:00:00:00:02,5,4794,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-1.2813559322030876,-1
66,2,2,00:00:00:00:00:02,1,590,aaltosea1,rohe_test_isntance,experiment1,1700512544.609401,rohe_test_stage,sdn,-0.03135593220329991,-1
75,2,2,00:00:00:00:00:08,4,4204,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.7813559322031729,-1
76,2,2,00:00:00:00:00:08,0,0,aaltosea1,rohe_test_isntance,experiment1,1700512544.609401,rohe_test_stage,sdn,-0.5313559322032146,-1
80,2,3,00:00:00:00:00:04,304,459648,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.10606060606060486,-1
90,2,4,00:00:00:00:00:04,212,320544,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-2.874999999999944,-1
94,2,4,00:00:00:00:00:04,134,202608,aaltosea1,rohe_test_isntance,experiment1,1700512547.623113,rohe_test_stage,sdn,-4.624999999999915,-1
95,2,4,00:00:00:00:00:05,280,423360,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-2.9666666666666357,-1
98,2,4,00:00:00:00:00:05,192,290304,aaltosea1,rohe_test_isntance,experiment1,1700512546.617645,rohe_test_stage,sdn,-0.6333333333333231,-1
