,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
2,1,1,00:00:00:00:00:04,194,292406,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-969999999999.5,-1
7,1,2,00:00:00:00:00:04,159,238938,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-794999999999.4999,-1
12,1,3,00:00:00:00:00:04,296,447552,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-1479999999999.5,-1
17,1,4,00:00:00:00:00:01,4,4204,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-19999999999.5,-1
27,1,4,00:00:00:00:00:03,3,2692,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-14999999999.5,-1
32,1,4,00:00:00:00:00:06,3,2144,aaltosea1,rohe_test_isntance,experiment1,1700512297.677879,rohe_test_stage,sdn,-14999999999.5,-1
35,2,1,00:00:00:00:00:02,2,84,aaltosea1,rohe_test_isntance,experiment1,1700512295.669347,rohe_test_stage,sdn,-9999999999.5,-1
40,2,1,00:00:00:00:00:07,2,84,aaltosea1,rohe_test_isntance,experiment1,1700512295.669347,rohe_test_stage,sdn,-9999999999.5,-1
45,2,1,00:00:00:00:00:08,2,84,aaltosea1,rohe_test_isntance,experiment1,1700512295.669347,rohe_test_stage,sdn,-9999999999.5,-1
5,1,2,00:00:00:00:00:04,182,275184,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.12499999999739586,-1
7,1,2,00:00:00:00:00:04,140,211680,aaltosea1,rohe_test_isntance,experiment1,1700512545.6120892,rohe_test_stage,sdn,-4.9999999997249995,-1
20,1,4,00:00:00:00:00:02,5,4794,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.4999999999,-1
34,1,4,00:00:00:00:00:06,1,1512,aaltosea1,rohe_test_isntance,experiment1,1700512547.623113,rohe_test_stage,sdn,-4999999999.5,-1
37,1,4,00:00:00:00:00:07,5,3872,aaltosea1,rohe_test_isntance,experiment1,1700512545.6120892,rohe_test_stage,sdn,-14999999999.5,-1
39,1,4,00:00:00:00:00:07,1,1512,aaltosea1,rohe_test_isntance,experiment1,1700512547.623113,rohe_test_stage,sdn,-4999999999.5,-1
45,1,5,00:00:00:00:00:04,304,459648,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.1666666666645502,-1
55,2,1,00:00:00:00:00:07,3,3614,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-4999999999.5,-1
65,2,2,00:00:00:00:00:02,5,4794,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.4999999999,-1
72,2,2,00:00:00:00:00:07,5,3872,aaltosea1,rohe_test_isntance,experiment1,1700512545.6120892,rohe_test_stage,sdn,-14999999999.5,-1
74,2,2,00:00:00:00:00:07,1,1512,aaltosea1,rohe_test_isntance,experiment1,1700512547.623113,rohe_test_stage,sdn,-4999999999.5,-1
80,2,3,00:00:00:00:00:04,304,459648,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.10606060605876944,-1
90,2,4,00:00:00:00:00:04,212,320544,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-2.874999999915625,-1
94,2,4,00:00:00:00:00:04,134,202608,aaltosea1,rohe_test_isntance,experiment1,1700512547.623113,rohe_test_stage,sdn,-4.624999999871875,-1
95,2,4,00:00:00:00:00:05,280,423360,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-2.966666666620444,-1
98,2,4,00:00:00:00:00:05,192,290304,aaltosea1,rohe_test_isntance,experiment1,1700512546.617645,rohe_test_stage,sdn,-0.6333333333182223,-1
100,2,5,00:00:00:00:00:04,133,201096,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-1.7499999998875002,-1
104,2,5,00:00:00:00:00:04,103,155736,aaltosea1,rohe_test_isntance,experiment1,1700512547.623113,rohe_test_stage,sdn,-3.4999999998,-1
105,2,5,00:00:00:00:00:05,179,270648,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.11904761904172312,-1
8,1,2,00:00:00:00:00:04,182,275184,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.3472222222175154,-1
14,1,2,00:00:00:00:00:04,107,161784,aaltosea1,rohe_test_isntance,experiment1,1700512549.634757,rohe_test_stage,sdn,-0.999999999925,-1
15,1,2,00:00:00:00:00:04,127,192024,aaltosea1,rohe_test_isntance,experiment1,1700512550.638494,rohe_test_stage,sdn,-4.249999999525,-1
16,1,3,00:00:00:00:00:04,354,535248,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.06849315068337392,-1
19,1,3,00:00:00:00:00:04,291,439992,aaltosea1,rohe_test_isntance,experiment1,1700512546.617645,rohe_test_stage,sdn,-0.042857142854040964,-1
22,1,3,00:00:00:00:00:04,203,306936,aaltosea1,rohe_test_isntance,experiment1,1700512549.634757,rohe_test_stage,sdn,-0.605263157883102,-1
32,1,4,00:00:00:00:00:02,5,4794,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.249999999925,-1
38,1,4,00:00:00:00:00:02,3,2692,aaltosea1,rohe_test_isntance,experiment1,1700512549.634757,rohe_test_stage,sdn,-4999999999.5,-1
52,1,4,00:00:00:00:00:06,1,1512,aaltosea1,rohe_test_isntance,experiment1,1700512547.623113,rohe_test_stage,sdn,-4999999999.5,-1
53,1,4,00:00:00:00:00:06,3,2692,aaltosea1,rohe_test_isntance,experiment1,1700512548.629217,rohe_test_stage,sdn,-4999999999.5,-1
58,1,4,00:00:00:00:00:07,5,3872,aaltosea1,rohe_test_isntance,experiment1,1700512545.6120892,rohe_test_stage,sdn,-0.249999999925,-1
62,1,4,00:00:00:00:00:07,3,1770,aaltosea1,rohe_test_isntance,experiment1,1700512549.634757,rohe_test_stage,sdn,-4999999999.5,-1
72,1,5,00:00:00:00:00:04,304,459648,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-0.1666666666645502,-1
79,1,5,00:00:00:00:00:04,125,189000,aaltosea1,rohe_test_isntance,experiment1,1700512550.638494,rohe_test_stage,sdn,-4.399999999803999,-1
81,2,1,00:00:00:00:00:02,1,1512,aaltosea1,rohe_test_isntance,experiment1,1700512544.609401,rohe_test_stage,sdn,-4999999999.5,-1
88,2,1,00:00:00:00:00:07,3,3614,aaltosea1,rohe_test_isntance,experiment1,1700512543.603976,rohe_test_stage,sdn,-4999999999.5,-1
