,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
0,1,3,00:00:00:00:00:04,2373,3587976,aaltosea1,rohe_test_isntance,experiment1,10.040570974349976,rohe_test_stage,sdn,0.5333333326582794,1
1,1,3,00:00:00:00:00:04,776,1171842,aaltosea1,rohe_test_isntance,experiment1,10.038284063339233,rohe_test_stage,sdn,-0.6499999809754256,-1
2,1,3,00:00:00:00:00:04,517,781704,aaltosea1,rohe_test_isntance,experiment1,10.029692888259888,rohe_test_stage,sdn,0.6064056184910148,1
3,1,3,00:00:00:00:00:04,239,361368,aaltosea1,rohe_test_isntance,experiment1,10.03685212135315,rohe_test_stage,sdn,-101942.31918673593,-1
4,1,3,00:00:00:00:00:04,920,1389570,aaltosea1,rohe_test_isntance,experiment1,10.031291961669922,rohe_test_stage,sdn,-30774.7711280227,-1
5,1,3,00:00:00:00:00:04,1393,2104746,aaltosea1,rohe_test_isntance,experiment1,10.039145946502686,rohe_test_stage,sdn,0.5,1
6,1,3,00:00:00:00:00:04,2267,3427704,aaltosea1,rohe_test_isntance,experiment1,10.031015157699585,rohe_test_stage,sdn,0.5,1
7,1,3,00:00:00:00:00:04,7937,11997804,aaltosea1,rohe_test_isntance,experiment1,10.02134084701538,rohe_test_stage,sdn,0.5,1
8,1,3,00:00:00:00:00:04,7519,11365788,aaltosea1,rohe_test_isntance,experiment1,10.023698806762695,rohe_test_stage,sdn,-0.771004565165653,-1
9,1,4,00:00:00:00:00:01,-848,-845078,aaltosea1,rohe_test_isntance,experiment1,12.03792405128479,rohe_test_stage,sdn,0.21810491108626362,1
10,1,4,00:00:00:00:00:01,1,1512,aaltosea1,rohe_test_isntance,experiment1,10.03685212135315,rohe_test_stage,sdn,-1161.3577079447157,-1
11,1,4,00:00:00:00:00:01,10,9040,aaltosea1,rohe_test_isntance,experiment1,10.033797979354858,rohe_test_stage,sdn,0.6101842508293668,1
12,1,4,00:00:00:00:00:01,6,4836,aaltosea1,rohe_test_isntance,experiment1,10.034535884857178,rohe_test_stage,sdn,-67.66258158088002,-1
13,1,4,00:00:00:00:00:01,8,6564,aaltosea1,rohe_test_isntance,experiment1,10.036571741104126,rohe_test_stage,sdn,0.14960186024143263,1
14,1,4,00:00:00:00:00:01,19,17490,aaltosea1,rohe_test_isntance,experiment1,10.041624069213867,rohe_test_stage,sdn,0.6030008204090245,1
15,1,4,00:00:00:00:00:01,-849,-844746,aaltosea1,rohe_test_isntance,experiment1,12.02944302558899,rohe_test_stage,sdn,0.5,1
16,1,4,00:00:00:00:00:01,10,9040,aaltosea1,rohe_test_isntance,experiment1,10.034702062606812,rohe_test_stage,sdn,0.6101842508293668,1
17,1,4,00:00:00:00:00:01,21,19592,aaltosea1,rohe_test_isntance,experiment1,10.03896713256836,rohe_test_stage,sdn,-0.7774431795459851,-1
18,1,4,00:00:00:00:00:06,67,67564,aaltosea1,rohe_test_isntance,experiment1,10.021783113479614,rohe_test_stage,sdn,0.5,1
19,1,4,00:00:00:00:00:06,5,5716,aaltosea1,rohe_test_isntance,experiment1,10.029692888259888,rohe_test_stage,sdn,0.551798628834032,1
20,1,4,00:00:00:00:00:06,58,57096,aaltosea1,rohe_test_isntance,experiment1,10.0278799533844,rohe_test_stage,sdn,-0.9999767422721533,-1
21,1,4,00:00:00:00:00:06,-850,-847728,aaltosea1,rohe_test_isntance,experiment1,12.029367923736572,rohe_test_stage,sdn,0.5,1
22,1,4,00:00:00:00:00:06,20,20098,aaltosea1,rohe_test_isntance,experiment1,10.03896713256836,rohe_test_stage,sdn,0.6243044582483851,1
23,1,4,00:00:00:00:00:06,22,22574,aaltosea1,rohe_test_isntance,experiment1,10.030220031738281,rohe_test_stage,sdn,0.490659949060128,1
24,1,4,00:00:00:00:00:06,-850,-848650,aaltosea1,rohe_test_isntance,experiment1,12.03173828125,rohe_test_stage,sdn,0.5,1
25,1,4,00:00:00:00:00:06,5,5716,aaltosea1,rohe_test_isntance,experiment1,10.0399649143219,rohe_test_stage,sdn,0.5185495074577969,1
26,1,4,00:00:00:00:00:06,22,21652,aaltosea1,rohe_test_isntance,experiment1,10.0450439453125,rohe_test_stage,sdn,0.2965130855067213,1
0,1,2,00:00:00:00:00:04,535,807450,aaltosea1,rohe_test_isntance,experiment1,10.036526203155518,rohe_test_stage,sdn,0.1388889032109255,1
1,1,2,00:00:00:00:00:04,3458,5225556,aaltosea1,rohe_test_isntance,experiment1,10.028505802154541,rohe_test_stage,sdn,-0.08682499207016381,-1
2,1,2,00:00:00:00:00:04,245,369518,aaltosea1,rohe_test_isntance,experiment1,10.0399649143219,rohe_test_stage,sdn,0.5,1
3,1,2,00:00:00:00:00:04,1220,1843170,aaltosea1,rohe_test_isntance,experiment1,10.038633823394775,rohe_test_stage,sdn,-2.99999139412581,-1
4,1,2,00:00:00:00:00:04,1299,1964088,aaltosea1,rohe_test_isntance,experiment1,10.032536268234253,rohe_test_stage,sdn,0.5357143573368142,1
5,1,2,00:00:00:00:00:04,1150,1738800,aaltosea1,rohe_test_isntance,experiment1,10.03896713256836,rohe_test_stage,sdn,0.5909090837825559,1
6,1,2,00:00:00:00:00:04,2576,3893442,aaltosea1,rohe_test_isntance,experiment1,10.028203964233398,rohe_test_stage,sdn,-0.5160818712223634,-1
7,1,2,00:00:00:00:00:04,-47485,-71764058,aaltosea1,rohe_test_isntance,experiment1,13.032871961593628,rohe_test_stage,sdn,0.5,1
8,1,2,00:00:00:00:00:04,821,1241352,aaltosea1,rohe_test_isntance,experiment1,10.039145946502686,rohe_test_stage,sdn,0.4690402485022176,1
9,1,3,00:00:00:00:00:04,1873,2830506,aaltosea1,rohe_test_isntance,experiment1,10.034219980239868,rohe_test_stage,sdn,0.3770296595665814,1
10,1,3,00:00:00:00:00:04,570,860370,aaltosea1,rohe_test_isntance,experiment1,10.031002044677734,rohe_test_stage,sdn,0.10813952549704275,1
11,1,3,00:00:00:00:00:04,2508,3792096,aaltosea1,rohe_test_isntance,experiment1,10.03006911277771,rohe_test_stage,sdn,-0.089285697556859,-1
12,1,3,00:00:00:00:00:04,776,1171842,aaltosea1,rohe_test_isntance,experiment1,10.038284063339233,rohe_test_stage,sdn,-0.6499999809754256,-1
13,1,3,00:00:00:00:00:04,2340,3538080,aaltosea1,rohe_test_isntance,experiment1,10.042255878448486,rohe_test_stage,sdn,-1.5952335903767185,-1
14,1,3,00:00:00:00:00:04,2549,3854088,aaltosea1,rohe_test_isntance,experiment1,10.034358024597168,rohe_test_stage,sdn,0.533333339724952,1
15,1,3,00:00:00:00:00:04,2267,3427704,aaltosea1,rohe_test_isntance,experiment1,10.033549785614014,rohe_test_stage,sdn,0.5,1
16,1,3,00:00:00:00:00:04,2384,3604608,aaltosea1,rohe_test_isntance,experiment1,10.03578805923462,rohe_test_stage,sdn,0.5937499972515388,1
17,1,3,00:00:00:00:00:04,517,781704,aaltosea1,rohe_test_isntance,experiment1,10.029122114181519,rohe_test_stage,sdn,0.5675344251638788,1
18,1,4,00:00:00:00:00:01,63,62812,aaltosea1,rohe_test_isntance,experiment1,10.029123067855835,rohe_test_stage,sdn,0.4999977942656231,1
19,1,4,00:00:00:00:00:01,-850,-848650,aaltosea1,rohe_test_isntance,experiment1,12.046092748641968,rohe_test_stage,sdn,-493.32918286725607,-1
20,1,4,00:00:00:00:00:01,19,17490,aaltosea1,rohe_test_isntance,experiment1,10.041624069213867,rohe_test_stage,sdn,0.6030008204090245,1
21,1,4,00:00:00:00:00:01,14,10478,aaltosea1,rohe_test_isntance,experiment1,10.035102128982544,rohe_test_stage,sdn,0.5000084607483912,1
22,1,4,00:00:00:00:00:01,19,19508,aaltosea1,rohe_test_isntance,experiment1,10.031015157699585,rohe_test_stage,sdn,-0.7339147393009506,-1
23,1,4,00:00:00:00:00:01,4,4204,aaltosea1,rohe_test_isntance,experiment1,10.041806936264038,rohe_test_stage,sdn,0.5,1
24,1,4,00:00:00:00:00:01,20,21020,aaltosea1,rohe_test_isntance,experiment1,10.031625032424927,rohe_test_stage,sdn,0.534200097637983,1
25,1,4,00:00:00:00:00:01,20,21020,aaltosea1,rohe_test_isntance,experiment1,10.032339811325073,rohe_test_stage,sdn,0.534200097637983,1
26,1,4,00:00:00:00:00:01,21,20688,aaltosea1,rohe_test_isntance,experiment1,10.033549785614014,rohe_test_stage,sdn,0.5,1
27,1,4,00:00:00:00:00:02,0,0,aaltosea1,rohe_test_isntance,experiment1,10.036571741104126,rohe_test_stage,sdn,0.04718404687907052,1
28,1,4,00:00:00:00:00:02,-823,-803242,aaltosea1,rohe_test_isntance,experiment1,13.030856132507324,rohe_test_stage,sdn,0.4853677438244264,1
29,1,4,00:00:00:00:00:02,10,10510,aaltosea1,rohe_test_isntance,experiment1,10.037652015686035,rohe_test_stage,sdn,0.5,1
30,1,4,00:00:00:00:00:02,17,17406,aaltosea1,rohe_test_isntance,experiment1,10.041624069213867,rohe_test_stage,sdn,0.5,1
31,1,4,00:00:00:00:00:02,-823,-803242,aaltosea1,rohe_test_isntance,experiment1,13.034332036972046,rohe_test_stage,sdn,0.4214564192147485,1
32,1,4,00:00:00:00:00:02,8,8408,aaltosea1,rohe_test_isntance,experiment1,10.030467987060547,rohe_test_stage,sdn,0.6000011266241216,1
33,1,4,00:00:00:00:00:02,14,11948,aaltosea1,rohe_test_isntance,experiment1,10.039644002914429,rohe_test_stage,sdn,0.6666556615132888,1
34,1,4,00:00:00:00:00:02,-822,-802652,aaltosea1,rohe_test_isntance,experiment1,13.036088228225708,rohe_test_stage,sdn,-535.7947376930674,-1
35,1,4,00:00:00:00:00:02,16,14972,aaltosea1,rohe_test_isntance,experiment1,10.034219980239868,rohe_test_stage,sdn,0.49999209107310794,1
